Name,Date,Site,Cluster,Transect,Margin,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2214,470,HALI,Alleviate,2022-03-04 01:01:56+00:00,HALI,90,MALG,3,DEAD,3,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2271,200,DEAD,Alleviate,2022-03-04 01:01:56+00:00,DEAD,88,MALG,3,HALI,2,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2122,1519,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2180,1540,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2190,1111,PCYL,Alleviate,2022-03-04 01:01:56+00:00,PCYL,89,DEAD,4,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2317,1412,DEAD,Alleviate,2022-03-04 01:01:55+00:00,DEAD,80,MALG,6,HALI,5,PCYL,2,CRCA,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1870,1909,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1976,1933,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2153,2864,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1995,2936,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,1874,3221,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2784,648,DEAD,Alleviate,2022-03-04 01:01:55+00:00,DEAD,90,MALG,4,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2502,1476,DEAD,Alleviate,2022-03-04 01:01:55+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2632,2388,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2423,2044,DEAD,Alleviate,2022-03-04 01:01:55+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2900,2560,DEAD,Alleviate,2022-03-04 01:01:55+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2616,3024,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2683,3063,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2676,3464,PRUS,Alleviate,2022-03-04 01:01:55+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.0-A (P5270889).JPG,,,,,,,,,,,,,,,,,,2882,3612,DEAD,Alleviate,2022-03-04 01:01:55+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,888,3486,DEAD,Alleviate,2022-03-04 01:34:00+00:00,DEAD,58,PCYL,32,MALG,3,CYAN,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1892,1882,DEAD,Alleviate,2022-03-04 01:34:00+00:00,DEAD,77,MALG,17,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2573,2505,HALI,Alleviate,2022-03-04 01:33:59+00:00,HALI,78,DEAD,14,MALG,3,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,213,970,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,531,1528,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,64,PCYL,24,DEAD,4,MALG,3,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,310,914,HALI,Alleviate,2022-03-04 01:33:59+00:00,HALI,89,DEAD,4,MALG,3,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,265,980,HALI,Alleviate,2022-03-04 01:33:59+00:00,HALI,89,DEAD,4,MALG,2,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,148,1778,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,88,DEAD,3,MALG,2,PCYL,2,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,257,2654,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,88,DEAD,4,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,56,2448,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,86,PCYL,4,DEAD,3,MALG,2,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,497,2945,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,372,3537,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,133,3262,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,186,3629,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,708,830,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,908,1921,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,90,DEAD,3,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,967,2691,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,87,DEAD,5,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,650,3120,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,88,MALG,4,HALI,2,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,687,2954,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,50,PCYL,36,DEAD,4,MALG,3,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,768,3608,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,83,MALG,6,PCYL,5,CYAN,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1096,3630,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1670,751,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1585,87,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1554,1141,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1273,1451,PRUS,Alleviate,2022-03-04 01:33:59+00:00,PRUS,89,DEAD,4,MALG,2,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1409,1237,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1757,1553,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,91,MALG,2,PRUS,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1286,2230,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1257,2392,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,91,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1688,2359,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,87,MALG,6,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1474,2691,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1759,2619,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1759,3427,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1460,3223,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1825,967,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,91,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2101,1865,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2259,1695,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2399,3026,HALI,Alleviate,2022-03-04 01:33:59+00:00,HALI,88,MALG,4,DEAD,3,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2087,2933,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1966,3675,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2399,3390,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,1865,3784,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,90,MALG,3,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2176,3459,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2756,290,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2400,104,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,92,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2723,737,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,91,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2490,1903,DEAD,Alleviate,2022-03-04 01:33:59+00:00,DEAD,90,MALG,4,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 10.5-B (P5270947).JPG,,,,,,,,,,,,,,,,,,2736,3170,PCYL,Alleviate,2022-03-04 01:33:59+00:00,PCYL,90,DEAD,3,MALG,2,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,176,1796,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,82,MALG,12,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,332,2260,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,71,MALG,23,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,1085,2117,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,85,MALG,9,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,1049,3733,MALG,Alleviate,2022-03-04 01:04:14+00:00,MALG,55,DEAD,38,RUBB,1,PCYL,1,HALI,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,1488,2131,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,87,MALG,6,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,1968,648,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,72,MALG,21,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,2151,3006,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,89,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,2549,737,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,87,MALG,7,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,2468,100,DEAD,Alleviate,2022-03-04 01:04:14+00:00,DEAD,82,PCYL,9,MALG,3,RUBB,1,HALI,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,2900,3754,MALG,Alleviate,2022-03-04 01:04:14+00:00,MALG,79,HALI,9,DEAD,5,RUBB,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,256,747,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,29,1024,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,91,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,426,1168,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,81,1783,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,85,MALG,8,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,146,1727,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,89,MALG,5,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,25,1693,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,91,MALG,3,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,430,3198,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,113,2492,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,90,MALG,4,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,172,3258,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,91,MALG,3,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,1126,29,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,92,MALG,2,RUBB,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,761,2200,MALG,Alleviate,2022-03-04 01:04:13+00:00,MALG,67,DEAD,25,RUBB,1,PCYL,1,HALI,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,808,2083,MALG,Alleviate,2022-03-04 01:04:13+00:00,MALG,80,DEAD,14,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,1147,2811,DEAD,Alleviate,2022-03-04 01:04:13+00:00,DEAD,92,MALG,2,CYAN,1,HALI,1,PCYL,1
2021-05-27-ASAN-B-T2 11.0-A (P5270891).JPG,,,,,,,,,,,,,,,,,,982,3684,MALG,Alleviate,2022-03-04 01:04:13+00:00,MALG,69,HALI,20,DEAD,5,RUBB,1,PCYL,1
